Dominant,Zweitdominant,Ampel,Bedrohung-Eruptionswirkung,Intervention-Workshop,Strategisches Ziel,Dominanten Kombination,Profil‑Mustername,Entwicklungsrollen,Entwicklungsstory,Erfolgskriterien (KPI),Verantwortungsrollen,Zeitraum (1–12 Monate) 
A,C,GELB,"Schleichender Stillstand: Strategie wird logisch zerlegt, Belegschaft wird mitgerissen",Quality-Gate-Gremium ,Strategische Präzision: Nutzung der Expertise zur Verbesserung statt Blockade,A-C-GELB,Der Logik‑Zerlegende Experte,A → Mentor & Wissensanker / C → Qualitäts‑Navigator,"Der Teilnehmer nutzt seine Erfahrung als Mentor und verbindet sie mit der analytischen Stärke eines Qualitäts‑Navigators. Kritik wird zu Qualität, Erfahrung zu Orientierung.","Fehlerquote ↓, Strategie-Commitment ↑ ",Fachbereichsleitung + PMO,3–6 Monate
C,A,GELB,"Schleichender Stillstand: Strategie wird logisch zerlegt, Belegschaft wird mitgerissen",Quality-Gate-Gremium ,Strategische Präzision: Nutzung der Expertise zur Verbesserung statt Blockade,C-A-GELB,Der Strategisch‑Zerlegende Analytiker ,C → Qualitäts‑Navigator / A → Mentor & Wissensanker,"Der Teilnehmer entwickelt präzise Qualitätsorientierung und gleichzeitig die Fähigkeit, andere als Mentor zu unterstützen. Die Dynamik wird konstruktiv und strategisch klar","Fehlerquote ↓, Strategie-Commitment ↑ ",Fachbereichsleitung + PMO,3–6 Monate
A,B,GELB,"Innere Kündigung: Verlust von Kreativität, mechanisches Abarbeiten",Zukunfts-Tandem + Kompetenz-Pfad,Kompetenzaufbau & Selbstwirksamkeit: Wiederbelebung der Innovationskraft,A-B-GELB,Der Routine‑Erstarrte Experte ,A → Mentor & Wissensanker / B → Stabilitäts‑Architekt,Der Teilnehmer verbindet inspirierende Orientierung mit stabiler Struktur. Er schafft Sicherheit und Sinn und stärkt die Veränderungsfähigkeit des Teams,"Lernfortschritt ↑, Innovationsrate ↑ ",HR + Teamleitung ,4–8 Monate 
B,A,GELB,"Innere Kündigung: Verlust von Kreativität, mechanisches Abarbeiten",Zukunfts-Tandem + Kompetenz-Pfad,Kompetenzaufbau & Selbstwirksamkeit: Wiederbelebung der Innovationskraft,B-A-GELB,Der Stabilitäts‑Fixierte Fachmann,B → Stabilitäts‑Architekt / A → Mentor & Wissensanker,"Der Teilnehmer entwickelt klare Routinen und gleichzeitig die Fähigkeit, als Mentor Richtung zu geben. Das Team gewinnt Fokus und Motivation","Lernfortschritt ↑, Innovationsrate ↑ ",HR + Teamleitung ,4–8 Monate 
C,E,GELB,Lähmender Prozessstau: Politische Scheindebatten blockieren Entscheidungen,Moderierte Entscheidungs-Foren,Entscheidungsfähigkeit stärken: Trennung von Logik & Politik,C-E-GELB,Der Politisch‑Analytische Blockierer,C → Qualitäts‑Navigator / E → Beziehungs‑Gestalter,Der Teilnehmer trennt Logik von Politik und stärkt gleichzeitig seine Beziehungsfähigkeit. Entscheidungen werden klarer und vertrauensvoller.,"Entscheidungsdauer ↓, Meetingzeit ↓ ",Führungsteam + PMO,1–4 Monate 
E,C,GELB,Lähmender Prozessstau: Politische Scheindebatten blockieren Entscheidungen,Moderierte Entscheidungs-Foren,Entscheidungsfähigkeit stärken: Trennung von Logik & Politik,E-C-GELB,Der Status‑Politiker,E → Beziehungs‑Gestalter / C → Qualitäts‑Navigator,Der Teilnehmer stärkt Beziehungen und entwickelt gleichzeitig analytische Klarheit. Die Zusammenarbeit wird effizient und kooperativ.,"Entscheidungsdauer ↓, Meetingzeit ↓ ",Führungsteam + PMO,1–4 Monate 
E,D,GELB,"Status kollidiert mit Kulturwerten: verdeckte Loyalitätskonflikte, Missverständnisse, sinkende Kohäsion","Werte‑Alignment, Rollenklärung, Teamnormen‑Workshop, Feedback‑Rituale, moderierter Dialog",Balance zwischen Anerkennung & Kultur; psychologische Sicherheit; kohärentes Team,E-D-GELB,Der Loyalitäts‑Konfliktträger,E → Beziehungs‑Gestalter / D → Werte‑Botschafter,Der Teilnehmer gewinnt Anerkennung durch Beziehung statt Status und verbindet dies mit kultureller Klarheit. Das Team wird kohärenter.,"Missverständnisse ↓, Teamkohäsion ↑",Führungskraft + Kulturteam,2–5 Monate
D,E,GELB,"Status kollidiert mit Kulturwerten: verdeckte Loyalitätskonflikte, Missverständnisse, sinkende Kohäsion","Werte‑Alignment, Rollenklärung, Teamnormen‑Workshop, Feedback‑Rituale, moderierter Dialog",Balance zwischen Anerkennung & Kultur; psychologische Sicherheit; kohärentes Team,D-E-GELB,Der Anerkennungs‑Suchende Bewahrer,D → Werte‑Botschafter / E → Beziehungs‑Gestalter,Der Teilnehmer bringt Werte ein und stärkt gleichzeitig Beziehungen. Die Dynamik wird vertrauensvoll und stabil.,"Missverständnisse ↓, Teamkohäsion ↑",Führungskraft + Kulturteam,2–5 Monate
D,C,GELB,"Verzögerungen durch Konflikt zwischen Logik und Kultur; unterschwellige Spannungen, Misstrauen, Abwertung",Sense‑Making & Entscheidungs‑Alignment; Rollenklärung; gemeinsame Entscheidungsprinzipien; Teamnormen‑Workshop,Integration von Logik & Kultur; respektvolle Entscheidungsprozesse; klare Prinzipien; kohärente Teamidentität,D-C-GELB,Der Kultur‑Logik‑Konfliktträger,D → Werte‑Botschafter / C → Qualitäts‑Navigator,Der Teilnehmer verbindet kulturelle Stabilität mit logischer Präzision. Entscheidungen werden respektvoll und klar.,"Entscheidungsqualität ↑, Spannungen ↓",Führungsteam + PMO,3–6 Monate
C,D,GELB,"Verzögerungen durch Konflikt zwischen Logik und Kultur; unterschwellige Spannungen, Misstrauen, Abwertung",Sense‑Making & Entscheidungs‑Alignment; Rollenklärung; gemeinsame Entscheidungsprinzipien; Teamnormen‑Workshop,Integration von Logik & Kultur; respektvolle Entscheidungsprozesse; klare Prinzipien; kohärente Teamidentität,C-D-GELB,Der Logik‑Kultur‑Analytiker,C → Qualitäts‑Navigator / D → Werte‑Botschafter,Der Teilnehmer strukturiert komplexe Themen und vermittelt gleichzeitig Werte. Die Veränderung wird rational und kulturell getragen.,"Entscheidungsqualität ↑, Spannungen ↓",Führungsteam + PMO,3–6 Monate
B,E,GELB,Showcase‑Spannung: Kreativität wird durch Statusdruck verzerrt; Frust & Rückzug,Creative‑Impact‑Alignment; Rollenklärung; Schutzräume für Kreativität,Balance zwischen Kreativität & Anerkennung; echte Wirksamkeit,B-E-GELB,Der Kreativitäts‑Blockierte Anerkennungs‑Sucher,B → Stabilitäts‑Architekt / E → Beziehungs‑Gestalter,Der Teilnehmer schafft sichere Rahmen und stärkt gleichzeitig Beziehungen. Kreativität wird wieder möglich.,"Anerkennungsklarheit ↑, Frustration ↓",Führungskraft + OE,2–4 Monate
E,B,GELB,Showcase‑Spannung: Kreativität wird durch Statusdruck verzerrt; Frust & Rückzug,Creative‑Impact‑Alignment; Rollenklärung; Schutzräume für Kreativität,Balance zwischen Kreativität & Anerkennung; echte Wirksamkeit,E-B-GELB,Der Anerkennungs‑Fixierte Routine‑Träger,E → Beziehungs‑Gestalter / B → Stabilitäts‑Architekt,Der Teilnehmer bringt Nähe und entwickelt gleichzeitig Struktur. Das Team gewinnt Balance und Fokus,"Anerkennungsklarheit ↑, Frustration ↓",Führungskraft + OE,2–4 Monate
B,F,GELB,Kreativitäts‑Erosion: Erschöpfung bremst Ideen; Frust & Rückzug,Ressourcen‑Rebalancing; Stop‑Doing; geschützte Kreativphasen,Nachhaltige Kreativität & stabile Kapazitäten,B-F-GELB,Der Erschöpfte Routine‑Träger,B → Stabilitäts‑Architekt / F → Resilienz‑Champion,Der Teilnehmer schafft Ordnung und entwickelt gleichzeitig Resilienz. Das Team wird stabil und belastbar.,"Erschöpfung ↓, Ideenrate ↑",HR + OE,2–5 Monate
F,B,GELB,Kreativitäts‑Erosion: Erschöpfung bremst Ideen; Frust & Rückzug,Ressourcen‑Rebalancing; Stop‑Doing; geschützte Kreativphasen,Nachhaltige Kreativität & stabile Kapazitäten,F-B-GELB,Der Überlastete Stabilitäts‑Sucher,F → Resilienz‑Champion / B → Stabilitäts‑Architekt,Der Teilnehmer stärkt seine Belastbarkeit und entwickelt gleichzeitig Strukturkompetenz. Die Dynamik wird nachhaltig.,"Erschöpfung ↓, Ideenrate ↑",HR + OE,2–5 Monate
D,F,GELB,Loyalitäts‑Überlastung: Pflichtgefühl kollidiert mit Erschöpfung; Schuld & Überforderung,Team‑Care; Rollenklärung; gesunde Teamnormen,Psychologische Sicherheit & Belastbarkeit,D-F-GELB,Der Pflicht‑Überlastete Bewahrer,D → Werte‑Botschafter / F → Resilienz‑Champion,Der Teilnehmer verbindet Wertebewusstsein mit Resilienz. Das Team gewinnt emotionale und physische Stabilität.,"Belastbarkeit ↑, Loyalitätskonflikte ↓",Führungskraft + HR,3–6 Monate
F,D,GELB,Loyalitäts‑Überlastung: Pflichtgefühl kollidiert mit Erschöpfung; Schuld & Überforderung,Team‑Care; Rollenklärung; gesunde Teamnormen,Psychologische Sicherheit & Belastbarkeit,F-D-GELB,Der Überlastete Loyalitäts‑Träger,F → Resilienz‑Champion / D → Werte‑Botschafter,Der Teilnehmer entwickelt gesunde Leistungsfähigkeit und gleichzeitig kulturelle Klarheit. Die Veränderung wird tragfähig.,"Belastbarkeit ↑, Loyalitätskonflikte ↓",Führungskraft + HR,3–6 Monate
B,C,GRÜN,Produktive Spannung: Kreativität trifft Logik; keine Eskalation,Innovation‑Sprint; Struktur‑Co‑Creation,Synergie von Kreativität & Logik,B-C-GRÜN,Der Strukturierte Innovator,B → Stabilitäts‑Architekt / C → Qualitäts‑Navigator,Der Teilnehmer verbindet stabile Struktur mit präziser Qualität. Die produktive Spannung stärkt Innovation und Effizienz.,"Innovationsrate ↑, Entscheidungsqualität ↑",Teamleitung + PMO,2–4 Monate
C,B,GRÜN,Produktive Spannung: Kreativität trifft Logik; keine Eskalation,Innovation‑Sprint; Struktur‑Co‑Creation,Synergie von Kreativität & Logik,C-B-GRÜN,Der Präzise Stabilitäts‑Denker,C → Qualitäts‑Navigator / B → Stabilitäts‑Architekt,Der Teilnehmer entwickelt klare Prioritäten und gleichzeitig stabile Routinen. Das Team arbeitet fokussiert und sicher,"Innovationsrate ↑, Entscheidungsqualität ↑",Teamleitung + PMO,2–4 Monate
F,C,GRÜN,"Verzögerungen: Deadlines reißen, aber keine Sabotage",Kapazitäts-Check + Priorisierungs-Sprint,Realistische Planung: Zeitpuffer & Ressourcen für nachhaltige Umsetzung,F-C-GRÜN,Der Realistische Planer,F → Resilienz‑Champion / C → Qualitäts‑Navigator,Der Teilnehmer stärkt seine Resilienz und entwickelt gleichzeitig analytische Klarheit. Deadlines werden realistisch und erreichbar.,"Termintreue ↑, Überstunden ↓ ",Teamleitung + PMO,1–3 Monate 
C,F,GRÜN,"Verzögerungen: Deadlines reißen, aber keine Sabotage",Kapazitäts-Check + Priorisierungs-Sprint,Realistische Planung: Zeitpuffer & Ressourcen für nachhaltige Umsetzung,C-F-GRÜN,Der Analytische Belastbarkeits‑Navigator,C → Qualitäts‑Navigator / F → Resilienz‑Champion,Der Teilnehmer strukturiert Aufgaben und entwickelt gleichzeitig gesunde Leistungsfähigkeit. Die Zusammenarbeit wird nachhaltig und effizient.,"Termintreue ↑, Überstunden ↓ ",Teamleitung + PMO,1–3 Monate 
