Dominant,Zweitdominant,Ampel,Bedrohung-Eruptionswirkung,Intervention-Workshop,Strategisches Ziel,Dominanten Kombination,Entwicklungsrollen,Erfolgskriterien (KPI),Verantwortungsrollen,Zeitraum (1–12 Monate) 
E,C,GELB,Lähmender Prozessstau: Politische Scheindebatten blockieren Entscheidungen,Moderierte Entscheidungs-Foren,Entscheidungsfähigkeit stärken: Trennung von Logik & Politik,E-C-GELB,E → Beziehungs‑Gestalter / C → Qualitäts‑Navigator,"Entscheidungsdauer ↓, Meetingzeit ↓ ",Führungsteam + PMO,1–4 Monate 
E,D,GELB,"Status kollidiert mit Kulturwerten: verdeckte Loyalitätskonflikte, Missverständnisse, sinkende Kohäsion","Werte‑Alignment, Rollenklärung, Teamnormen‑Workshop, Feedback‑Rituale, moderierter Dialog",Balance zwischen Anerkennung & Kultur; psychologische Sicherheit; kohärentes Team,E-D-GELB,E → Beziehungs‑Gestalter / D → Werte‑Botschafter,"Missverständnisse ↓, Teamkohäsion ↑",Führungskraft + Kulturteam,2–5 Monate
D,E,GELB,"Status kollidiert mit Kulturwerten: verdeckte Loyalitätskonflikte, Missverständnisse, sinkende Kohäsion","Werte‑Alignment, Rollenklärung, Teamnormen‑Workshop, Feedback‑Rituale, moderierter Dialog",Balance zwischen Anerkennung & Kultur; psychologische Sicherheit; kohärentes Team,D-E-GELB,D → Werte‑Botschafter / E → Beziehungs‑Gestalter,"Missverständnisse ↓, Teamkohäsion ↑",Führungskraft + Kulturteam,2–5 Monate
D,C,GELB,"Verzögerungen durch Konflikt zwischen Logik und Kultur; unterschwellige Spannungen, Misstrauen, Abwertung",Sense‑Making & Entscheidungs‑Alignment; Rollenklärung; gemeinsame Entscheidungsprinzipien; Teamnormen‑Workshop,Integration von Logik & Kultur; respektvolle Entscheidungsprozesse; klare Prinzipien; kohärente Teamidentität,D-C-GELB,D → Werte‑Botschafter / C → Qualitäts‑Navigator,"Entscheidungsqualität ↑, Spannungen ↓",Führungsteam + PMO,3–6 Monate
C,D,GELB,"Verzögerungen durch Konflikt zwischen Logik und Kultur; unterschwellige Spannungen, Misstrauen, Abwertung",Sense‑Making & Entscheidungs‑Alignment; Rollenklärung; gemeinsame Entscheidungsprinzipien; Teamnormen‑Workshop,Integration von Logik & Kultur; respektvolle Entscheidungsprozesse; klare Prinzipien; kohärente Teamidentität,C-D-GELB,C → Qualitäts‑Navigator / D → Werte‑Botschafter,"Entscheidungsqualität ↑, Spannungen ↓",Führungsteam + PMO,3–6 Monate
B,E,GELB,Showcase‑Spannung: Kreativität wird durch Statusdruck verzerrt; Frust & Rückzug,Creative‑Impact‑Alignment; Rollenklärung; Schutzräume für Kreativität,Balance zwischen Kreativität & Anerkennung; echte Wirksamkeit,B-E-GELB,B → Stabilitäts‑Architekt / E → Beziehungs‑Gestalter,"Anerkennungsklarheit ↑, Frustration ↓",Führungskraft + OE,2–4 Monate
E,B,GELB,Showcase‑Spannung: Kreativität wird durch Statusdruck verzerrt; Frust & Rückzug,Creative‑Impact‑Alignment; Rollenklärung; Schutzräume für Kreativität,Balance zwischen Kreativität & Anerkennung; echte Wirksamkeit,E-B-GELB,E → Beziehungs‑Gestalter / B → Stabilitäts‑Architekt,"Anerkennungsklarheit ↑, Frustration ↓",Führungskraft + OE,2–4 Monate
B,F,GELB,Kreativitäts‑Erosion: Erschöpfung bremst Ideen; Frust & Rückzug,Ressourcen‑Rebalancing; Stop‑Doing; geschützte Kreativphasen,Nachhaltige Kreativität & stabile Kapazitäten,B-F-GELB,B → Stabilitäts‑Architekt / F → Resilienz‑Champion,"Erschöpfung ↓, Ideenrate ↑",HR + OE,2–5 Monate
F,B,GELB,Kreativitäts‑Erosion: Erschöpfung bremst Ideen; Frust & Rückzug,Ressourcen‑Rebalancing; Stop‑Doing; geschützte Kreativphasen,Nachhaltige Kreativität & stabile Kapazitäten,F-B-GELB,F → Resilienz‑Champion / B → Stabilitäts‑Architekt,"Erschöpfung ↓, Ideenrate ↑",HR + OE,2–5 Monate
D,F,GELB,Loyalitäts‑Überlastung: Pflichtgefühl kollidiert mit Erschöpfung; Schuld & Überforderung,Team‑Care; Rollenklärung; gesunde Teamnormen,Psychologische Sicherheit & Belastbarkeit,D-F-GELB,D → Werte‑Botschafter / F → Resilienz‑Champion,"Belastbarkeit ↑, Loyalitätskonflikte ↓",Führungskraft + HR,3–6 Monate
F,D,GELB,Loyalitäts‑Überlastung: Pflichtgefühl kollidiert mit Erschöpfung; Schuld & Überforderung,Team‑Care; Rollenklärung; gesunde Teamnormen,Psychologische Sicherheit & Belastbarkeit,F-D-GELB,F → Resilienz‑Champion / D → Werte‑Botschafter,"Belastbarkeit ↑, Loyalitätskonflikte ↓",Führungskraft + HR,3–6 Monate
B,C,GRÜN,Produktive Spannung: Kreativität trifft Logik; keine Eskalation,Innovation‑Sprint; Struktur‑Co‑Creation,Synergie von Kreativität & Logik,B-C-GRÜN,B → Stabilitäts‑Architekt / C → Qualitäts‑Navigator,"Innovationsrate ↑, Entscheidungsqualität ↑",Teamleitung + PMO,2–4 Monate
C,B,GRÜN,Produktive Spannung: Kreativität trifft Logik; keine Eskalation,Innovation‑Sprint; Struktur‑Co‑Creation,Synergie von Kreativität & Logik,C-B-GRÜN,C → Qualitäts‑Navigator / B → Stabilitäts‑Architekt,"Innovationsrate ↑, Entscheidungsqualität ↑",Teamleitung + PMO,2–4 Monate
F,C,GRÜN,"Verzögerungen: Deadlines reißen, aber keine Sabotage",Kapazitäts-Check + Priorisierungs-Sprint,Realistische Planung: Zeitpuffer & Ressourcen für nachhaltige Umsetzung,F-C-GRÜN,F → Resilienz‑Champion / C → Qualitäts‑Navigator,"Termintreue ↑, Überstunden ↓ ",Teamleitung + PMO,1–3 Monate 
C,F,GRÜN,"Verzögerungen: Deadlines reißen, aber keine Sabotage",Kapazitäts-Check + Priorisierungs-Sprint,Realistische Planung: Zeitpuffer & Ressourcen für nachhaltige Umsetzung,C-F-GRÜN,C → Qualitäts‑Navigator / F → Resilienz‑Champion,"Termintreue ↑, Überstunden ↓ ",Teamleitung + PMO,1–3 Monate 
